20:10:18,337 [main] INFO  MultiChartView - Init Start
20:10:54,428 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-05-18,9.760000,9.790000,9.750000,9.770000,9.770000,529800
20:10:54,430 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-05-19,9.780000,9.820000,9.750000,9.790000,9.790000,592200
20:10:54,432 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-05-20,9.780000,9.800000,9.770000,9.770000,9.770000,53500
20:10:54,436 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-05-21,9.790000,9.790000,9.780000,9.780000,9.780000,391900
20:10:54,438 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-05-24,9.760000,9.820000,9.760000,9.800000,9.800000,36600
20:10:54,440 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-05-25,9.800000,9.860000,9.790000,9.810000,9.810000,59400
20:10:54,443 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-05-26,9.800000,9.855000,9.780000,9.820000,9.820000,226700
20:10:54,446 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-05-27,9.830000,9.855000,9.810000,9.850000,9.850000,84300
20:10:54,448 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-05-28,9.830000,9.840000,9.770000,9.770000,9.770000,29600
20:10:54,450 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-01,9.770000,9.860000,9.760000,9.820000,9.820000,1352500
20:10:54,452 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-02,9.820000,9.860000,9.790000,9.790000,9.790000,673100
20:10:54,454 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-03,9.820000,9.850000,9.800000,9.850000,9.850000,183700
20:10:54,456 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-04,9.850000,9.850000,9.770000,9.770000,9.770000,53900
20:10:54,458 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-07,9.810000,9.820000,9.770000,9.780000,9.780000,1878500
20:10:54,461 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-08,9.800000,9.840000,9.770000,9.810000,9.810000,498400
20:10:54,464 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-09,9.810000,9.830000,9.778000,9.780000,9.780000,214000
20:10:54,466 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-10,9.790000,9.820000,9.770000,9.790000,9.790000,45500
20:10:54,468 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-11,9.820000,9.820000,9.790000,9.800000,9.800000,22100
20:10:54,470 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-14,9.810000,9.810000,9.778000,9.790000,9.790000,49600
20:10:54,471 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-15,9.790000,9.820000,9.780000,9.800000,9.800000,53300
20:10:54,473 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-16,9.790000,9.800000,9.760000,9.760000,9.760000,116700
20:10:54,475 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-17,9.760000,9.770000,9.750000,9.760000,9.760000,18200
20:10:54,478 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-18,9.766000,9.770000,9.750000,9.750000,9.750000,25900
20:10:54,481 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-21,9.790000,9.790000,9.760000,9.760000,9.760000,10700
20:10:54,484 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-22,9.750000,9.790000,9.750000,9.760000,9.760000,38600
20:10:54,486 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-23,9.780000,9.790000,9.760000,9.770000,9.770000,375900
20:10:54,488 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-24,9.760000,9.790000,9.760000,9.790000,9.790000,172000
20:10:54,490 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-25,9.800000,9.870000,9.790000,9.870000,9.870000,1886000
20:10:54,492 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-28,9.840000,9.860000,9.740000,9.800000,9.800000,763400
20:10:54,495 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-29,9.740000,9.810000,9.720000,9.770000,9.770000,64300
20:10:54,497 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-06-30,9.760000,9.790000,9.750000,9.750000,9.750000,19800
20:10:54,500 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-01,9.750000,9.770000,9.750000,9.750000,9.750000,65700
20:10:54,501 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-02,9.760000,9.760000,9.740000,9.750000,9.750000,72800
20:10:54,503 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-06,9.730000,9.760000,9.730000,9.750000,9.750000,47000
20:10:54,504 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-07,9.730000,9.750000,9.730000,9.750000,9.750000,39700
20:10:54,508 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-08,9.741000,9.790000,9.740000,9.770000,9.770000,76400
20:10:54,514 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-09,9.770000,9.819000,9.770000,9.800000,9.800000,134900
20:10:54,516 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-12,9.840000,9.840000,9.800000,9.800000,9.800000,111400
20:10:54,518 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-13,9.840000,9.840000,9.790000,9.810000,9.810000,284100
20:10:54,520 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-14,9.820000,9.820000,9.760000,9.760000,9.760000,12200
20:10:54,522 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-15,9.790000,9.790000,9.750000,9.770000,9.770000,74800
20:10:54,524 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-16,9.740000,9.790000,9.740000,9.760000,9.760000,7300
20:10:54,528 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-19,9.760000,9.770000,9.730000,9.770000,9.770000,291000
20:10:54,530 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-20,9.772000,9.772000,9.750000,9.750000,9.750000,2900
20:10:54,532 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-21,9.752000,9.770000,9.740000,9.760000,9.760000,18100
20:10:54,535 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-22,9.790000,9.790000,9.740000,9.760000,9.760000,9500
20:10:54,537 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-23,9.790000,9.790000,9.740000,9.760000,9.760000,18500
20:10:54,539 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-26,9.770000,9.770000,9.730000,9.750000,9.750000,320000
20:10:54,540 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-27,9.740000,9.760000,9.739000,9.750000,9.750000,19800
20:10:54,542 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-28,9.760000,9.760000,9.745000,9.750000,9.750000,6100
20:10:54,545 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-29,9.770000,9.780000,9.739000,9.750000,9.750000,65600
20:10:54,547 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-07-30,9.750000,9.780000,9.750000,9.780000,9.780000,21500
20:10:54,548 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-02,9.780000,9.780000,9.750000,9.750000,9.750000,11900
20:10:54,550 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-03,9.750000,9.760000,9.725000,9.740000,9.740000,58100
20:10:54,552 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-04,9.740000,9.760000,9.700000,9.720000,9.720000,164200
20:10:54,554 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-05,9.740000,9.750000,9.690000,9.710000,9.710000,48000
20:10:54,555 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-06,9.700000,9.780000,9.680000,9.770000,9.770000,97000
